0	1	-2
0	11	1
0	12	-2
0	132	-2
1	2	-1
1	13	-2
1	133	-2
2	3	-1
2	14	-1
2	134	-2
3	4	2
3	15	-2
3	135	-1
4	5	-1
4	16	-1
4	136	-1
5	6	2
5	17	-1
5	137	2
6	7	1
6	18	1
6	138	-1
7	8	-1
7	19	-2
7	139	-1
8	9	2
8	20	2
8	140	-2
9	10	-2
9	21	2
9	141	-2
10	11	-1
10	22	1
10	142	-1
11	23	1
11	143	2
12	13	1
12	23	2
12	24	1
13	14	1
13	25	1
14	15	2
14	26	1
15	16	2
15	27	1
16	17	1
16	28	1
17	18	1
17	29	1
18	19	2
18	30	-2
19	20	1
19	31	1
20	21	-1
20	32	1
21	22	-1
21	33	1
22	23	1
22	34	1
23	35	-1
24	25	2
24	35	2
24	36	-2
25	26	-2
25	37	-1
26	27	-2
26	38	-1
27	28	-2
27	39	2
28	29	2
28	40	2
29	30	2
29	41	-2
30	31	-1
30	42	-1
31	32	-2
31	43	-1
32	33	-2
32	44	2
33	34	1
33	45	-1
34	35	-2
34	46	-1
35	47	-2
36	37	-2
36	47	2
36	48	-2
37	38	1
37	49	1
38	39	-1
38	50	1
39	40	-1
39	51	1
40	41	1
40	52	-1
41	42	1
41	53	2
42	43	1
42	54	1
43	44	1
43	55	2
44	45	-1
44	56	2
45	46	2
45	57	1
46	47	1
46	58	-2
47	59	-1
48	49	1
48	59	-1
48	60	-2
49	50	-1
49	61	-2
50	51	2
50	62	2
51	52	-1
51	63	1
52	53	-1
52	64	1
53	54	-2
53	65	-2
54	55	-1
54	66	-1
55	56	-1
55	67	2
56	57	1
56	68	1
57	58	2
57	69	2
58	59	-2
58	70	1
59	71	-2
60	61	-1
60	71	1
60	72	1
61	62	-1
61	73	-1
62	63	-1
62	74	-1
63	64	-1
63	75	-1
64	65	-2
64	76	2
65	66	2
65	77	1
66	67	-1
66	78	2
67	68	-2
67	79	1
68	69	-2
68	80	2
69	70	-1
69	81	-2
70	71	-1
70	82	-2
71	83	-2
72	73	2
72	83	2
72	84	1
73	74	1
73	85	1
74	75	-1
74	86	-2
75	76	-2
75	87	-1
76	77	1
76	88	-2
77	78	-1
77	89	-1
78	79	1
78	90	-1
79	80	2
79	91	-1
80	81	-1
80	92	2
81	82	1
81	93	-1
82	83	-1
82	94	-2
83	95	-1
84	85	-2
84	95	1
84	96	2
85	86	-2
85	97	-2
86	87	1
86	98	2
87	88	-1
87	99	-1
88	89	-2
88	100	-1
89	90	-1
89	101	-1
90	91	-1
90	102	1
91	92	-2
91	103	2
92	93	-2
92	104	2
93	94	2
93	105	1
94	95	2
94	106	2
95	107	-1
96	97	-1
96	107	2
96	108	-1
97	98	-1
97	109	1
98	99	-1
98	110	-1
99	100	1
99	111	-2
100	101	-2
100	112	-1
101	102	-1
101	113	2
102	103	-1
102	114	-1
103	104	1
103	115	1
104	105	1
104	116	-2
105	106	-2
105	117	-1
106	107	1
106	118	2
107	119	1
108	109	-1
108	119	1
108	120	1
109	110	1
109	121	-1
110	111	2
110	122	-2
111	112	-1
111	123	-1
112	113	-2
112	124	-1
113	114	-2
113	125	-1
114	115	-1
114	126	2
115	116	2
115	127	-1
116	117	-2
116	128	1
117	118	-2
117	129	1
118	119	-2
118	130	-2
119	131	-1
120	121	2
120	131	1
120	132	-2
121	122	-2
121	133	-1
122	123	2
122	134	-2
123	124	1
123	135	-1
124	125	-1
124	136	-1
125	126	-1
125	137	1
126	127	-2
126	138	-2
127	128	2
127	139	-1
128	129	2
128	140	1
129	130	-1
129	141	-2
130	131	1
130	142	1
131	143	1
132	133	-2
132	143	1
133	134	2
134	135	-1
135	136	-1
136	137	-1
137	138	2
138	139	1
139	140	2
140	141	1
141	142	1
142	143	-1
