0	1	-2
0	11	2
0	12	1
0	132	-1
1	2	-1
1	13	-1
1	133	-1
2	3	-1
2	14	-2
2	134	1
3	4	2
3	15	1
3	135	1
4	5	-1
4	16	2
4	136	2
5	6	-1
5	17	-1
5	137	-1
6	7	-1
6	18	-1
6	138	-1
7	8	1
7	19	2
7	139	-2
8	9	-1
8	20	-2
8	140	1
9	10	1
9	21	2
9	141	2
10	11	-1
10	22	1
10	142	2
11	23	-1
11	143	1
12	13	-1
12	23	1
12	24	-1
13	14	-1
13	25	2
14	15	-2
14	26	-1
15	16	2
15	27	-1
16	17	-2
16	28	-2
17	18	1
17	29	2
18	19	-1
18	30	1
19	20	-2
19	31	1
20	21	-1
20	32	2
21	22	2
21	33	-1
22	23	-1
22	34	1
23	35	-1
24	25	1
24	35	-1
24	36	-2
25	26	-1
25	37	1
26	27	-1
26	38	2
27	28	-2
27	39	-1
28	29	-1
28	40	-1
29	30	-2
29	41	1
30	31	2
30	42	1
31	32	1
31	43	-1
32	33	1
32	44	2
33	34	2
33	45	-2
34	35	1
34	46	-1
35	47	1
36	37	2
36	47	1
36	48	-2
37	38	2
37	49	1
38	39	-1
38	50	-2
39	40	-2
39	51	-1
40	41	-1
40	52	2
41	42	-1
41	53	-1
42	43	2
42	54	2
43	44	-1
43	55	-1
44	45	1
44	56	1
45	46	2
45	57	-2
46	47	1
46	58	-1
47	59	-2
48	49	2
48	59	-1
48	60	-2
49	50	1
49	61	1
50	51	-1
50	62	-1
51	52	-2
51	63	1
52	53	-1
52	64	1
53	54	-2
53	65	-1
54	55	1
54	66	2
55	56	-1
55	67	1
56	57	1
56	68	2
57	58	-2
57	69	1
58	59	-2
58	70	-2
59	71	-1
60	61	1
60	71	1
60	72	-2
61	62	-2
61	73	1
62	63	-1
62	74	2
63	64	-2
63	75	-2
64	65	-1
64	76	1
65	66	-2
65	77	2
66	67	-2
66	78	-1
67	68	1
67	79	-1
68	69	-1
68	80	1
69	70	1
69	81	1
70	71	1
70	82	1
71	83	1
72	73	-2
72	83	1
72	84	-2
73	74	1
73	85	-2
74	75	2
74	86	-2
75	76	-1
75	87	1
76	77	-1
76	88	2
77	78	-1
77	89	2
78	79	1
78	90	1
79	80	2
79	91	-2
80	81	-2
80	92	-1
81	82	-1
81	93	1
82	83	-1
82	94	-1
83	95	1
84	85	1
84	95	-2
84	96	2
85	86	-2
85	97	-2
86	87	1
86	98	-1
87	88	-1
87	99	1
88	89	2
88	100	-1
89	90	-1
89	101	-2
90	91	1
90	102	2
91	92	1
91	103	-1
92	93	-1
92	104	1
93	94	-2
93	105	-2
94	95	-1
94	106	-1
95	107	-1
96	97	2
96	107	-2
96	108	2
97	98	2
97	109	-2
98	99	1
98	110	2
99	100	-1
99	111	2
100	101	-2
100	112	-1
101	102	-1
101	113	-2
102	103	1
102	114	-1
103	104	1
103	115	-2
104	105	-1
104	116	1
105	106	1
105	117	2
106	107	1
106	118	1
107	119	2
108	109	1
108	119	-2
108	120	-1
109	110	-2
109	121	-1
110	111	-1
110	122	2
111	112	-1
111	123	2
112	113	1
112	124	2
113	114	2
113	125	-2
114	115	-2
114	126	-1
115	116	-1
115	127	2
116	117	2
116	128	-2
117	118	2
117	129	2
118	119	-2
118	130	1
119	131	-2
120	121	-2
120	131	1
120	132	-1
121	122	-1
121	133	2
122	123	-1
122	134	-1
123	124	2
123	135	-1
124	125	2
124	136	2
125	126	-1
125	137	-2
126	127	2
126	138	-2
127	128	-1
127	139	-1
128	129	-1
128	140	1
129	130	-1
129	141	-1
130	131	1
130	142	-2
131	143	1
132	133	-1
132	143	2
133	134	-1
134	135	1
135	136	-1
136	137	1
137	138	1
138	139	-1
139	140	1
140	141	-1
141	142	-1
142	143	2
