0	1	-1
0	11	-2
0	12	-1
0	132	-1
1	2	-2
1	13	1
1	133	-2
2	3	-1
2	14	-2
2	134	1
3	4	-2
3	15	2
3	135	1
4	5	1
4	16	-1
4	136	1
5	6	2
5	17	1
5	137	1
6	7	-2
6	18	-2
6	138	-1
7	8	-1
7	19	1
7	139	-2
8	9	2
8	20	-1
8	140	-1
9	10	-1
9	21	-1
9	141	1
10	11	-2
10	22	-1
10	142	1
11	23	1
11	143	-2
12	13	-1
12	23	1
12	24	2
13	14	1
13	25	-1
14	15	-2
14	26	-1
15	16	-1
15	27	2
16	17	1
16	28	-1
17	18	-1
17	29	-2
18	19	-1
18	30	2
19	20	-2
19	31	-1
20	21	-1
20	32	-1
21	22	-1
21	33	-1
22	23	-2
22	34	-2
23	35	1
24	25	1
24	35	-2
24	36	-1
25	26	-1
25	37	-1
26	27	2
26	38	2
27	28	-2
27	39	-1
28	29	-2
28	40	1
29	30	-1
29	41	1
30	31	1
30	42	2
31	32	2
31	43	2
32	33	-2
32	44	1
33	34	2
33	45	1
34	35	-2
34	46	2
35	47	1
36	37	-1
36	47	-2
36	48	1
37	38	1
37	49	1
38	39	1
38	50	-2
39	40	1
39	51	1
40	41	2
40	52	-1
41	42	1
41	53	-2
42	43	-2
42	54	2
43	44	-2
43	55	-2
44	45	2
44	56	2
45	46	-1
45	57	-2
46	47	1
46	58	-2
47	59	-2
48	49	-2
48	59	-1
48	60	-2
49	50	2
49	61	-1
50	51	2
50	62	1
51	52	2
51	63	-1
52	53	1
52	64	2
53	54	1
53	65	-2
54	55	2
54	66	1
55	56	-1
55	67	-2
56	57	-2
56	68	-2
57	58	1
57	69	-2
58	59	-2
58	70	-2
59	71	1
60	61	2
60	71	2
60	72	-2
61	62	-1
61	73	-2
62	63	1
62	74	-2
63	64	-2
63	75	2
64	65	1
64	76	-2
65	66	1
65	77	-1
66	67	1
66	78	-1
67	68	1
67	79	-1
68	69	1
68	80	1
69	70	-1
69	81	-2
70	71	-1
70	82	-2
71	83	1
72	73	1
72	83	1
72	84	-2
73	74	1
73	85	-1
74	75	-1
74	86	-1
75	76	-1
75	87	1
76	77	2
76	88	-1
77	78	-1
77	89	-2
78	79	1
78	90	-2
79	80	1
79	91	2
80	81	-1
80	92	2
81	82	2
81	93	1
82	83	-1
82	94	1
83	95	1
84	85	-2
84	95	2
84	96	-1
85	86	2
85	97	2
86	87	-2
86	98	1
87	88	-2
87	99	-1
88	89	-1
88	100	-2
89	90	-2
89	101	-1
90	91	1
90	102	1
91	92	2
91	103	-2
92	93	2
92	104	-1
93	94	2
93	105	1
94	95	1
94	106	-1
95	107	2
96	97	-2
96	107	1
96	108	1
97	98	-2
97	109	-2
98	99	1
98	110	1
99	100	1
99	111	1
100	101	-2
100	112	-2
101	102	-2
101	113	-1
102	103	1
102	114	-1
103	104	-1
103	115	-1
104	105	1
104	116	1
105	106	1
105	117	1
106	107	1
106	118	2
107	119	2
108	109	-1
108	119	2
108	120	1
109	110	1
109	121	1
110	111	-1
110	122	-1
111	112	2
111	123	-1
112	113	1
112	124	-2
113	114	-1
113	125	2
114	115	-1
114	126	2
115	116	1
115	127	-1
116	117	-1
116	128	-1
117	118	1
117	129	-1
118	119	-1
118	130	-1
119	131	-1
120	121	-1
120	131	2
120	132	-1
121	122	1
121	133	-1
122	123	-2
122	134	-2
123	124	-1
123	135	1
124	125	-2
124	136	1
125	126	1
125	137	-1
126	127	-1
126	138	2
127	128	-1
127	139	-2
128	129	2
128	140	2
129	130	-1
129	141	1
130	131	2
130	142	-1
131	143	2
132	133	1
132	143	2
133	134	-1
134	135	-1
135	136	2
136	137	-2
137	138	2
138	139	-2
139	140	1
140	141	-1
141	142	1
142	143	1
