0	1	-2
0	11	-2
0	12	1
0	132	-2
1	2	2
1	13	1
1	133	2
2	3	1
2	14	-2
2	134	1
3	4	1
3	15	-2
3	135	-2
4	5	2
4	16	-1
4	136	-1
5	6	-1
5	17	1
5	137	1
6	7	1
6	18	2
6	138	2
7	8	-2
7	19	-2
7	139	2
8	9	-1
8	20	-1
8	140	-1
9	10	1
9	21	-2
9	141	-1
10	11	1
10	22	2
10	142	-1
11	23	1
11	143	1
12	13	1
12	23	-2
12	24	1
13	14	-2
13	25	2
14	15	-2
14	26	1
15	16	1
15	27	-1
16	17	2
16	28	1
17	18	2
17	29	1
18	19	1
18	30	2
19	20	-2
19	31	2
20	21	1
20	32	-1
21	22	-1
21	33	-2
22	23	-2
22	34	1
23	35	-1
24	25	-1
24	35	-1
24	36	-1
25	26	1
25	37	2
26	27	-1
26	38	1
27	28	1
27	39	1
28	29	1
28	40	2
29	30	-1
29	41	2
30	31	-1
30	42	2
31	32	-1
31	43	2
32	33	-2
32	44	1
33	34	-2
33	45	-1
34	35	1
34	46	1
35	47	1
36	37	-1
36	47	-2
36	48	-1
37	38	2
37	49	1
38	39	1
38	50	-1
39	40	2
39	51	-2
40	41	-1
40	52	-1
41	42	2
41	53	-2
42	43	2
42	54	-2
43	44	2
43	55	-2
44	45	-2
44	56	1
45	46	-1
45	57	2
46	47	-1
46	58	1
47	59	-1
48	49	1
48	59	2
48	60	-2
49	50	2
49	61	-2
50	51	-2
50	62	-2
51	52	-2
51	63	1
52	53	-2
52	64	2
53	54	-1
53	65	-1
54	55	-1
54	66	1
55	56	2
55	67	-1
56	57	1
56	68	1
57	58	2
57	69	-1
58	59	1
58	70	1
59	71	1
60	61	-2
60	71	2
60	72	2
61	62	1
61	73	1
62	63	-1
62	74	-1
63	64	1
63	75	1
64	65	-2
64	76	-1
65	66	-1
65	77	-1
66	67	-1
66	78	-1
67	68	-2
67	79	-1
68	69	1
68	80	1
69	70	1
69	81	-1
70	71	-1
70	82	-2
71	83	1
72	73	2
72	83	-1
72	84	-1
73	74	1
73	85	-1
74	75	1
74	86	-2
75	76	1
75	87	-2
76	77	1
76	88	-2
77	78	1
77	89	-2
78	79	-1
78	90	-2
79	80	-1
79	91	-2
80	81	1
80	92	1
81	82	-2
81	93	-1
82	83	-1
82	94	1
83	95	-1
84	85	-2
84	95	-2
84	96	2
85	86	-2
85	97	-2
86	87	-2
86	98	1
87	88	2
87	99	2
88	89	-2
88	100	1
89	90	-1
89	101	-2
90	91	2
90	102	-2
91	92	2
91	103	-1
92	93	1
92	104	2
93	94	-2
93	105	-1
94	95	-1
94	106	2
95	107	-1
96	97	1
96	107	-1
96	108	-1
97	98	-2
97	109	1
98	99	2
98	110	2
99	100	-1
99	111	-2
100	101	1
100	112	-2
101	102	2
101	113	1
102	103	-2
102	114	-2
103	104	1
103	115	1
104	105	-1
104	116	-1
105	106	-1
105	117	-2
106	107	-2
106	118	2
107	119	-1
108	109	1
108	119	-2
108	120	1
109	110	-2
109	121	1
110	111	1
110	122	-1
111	112	1
111	123	2
112	113	2
112	124	2
113	114	-1
113	125	2
114	115	-1
114	126	1
115	116	2
115	127	-2
116	117	2
116	128	-1
117	118	2
117	129	1
118	119	-2
118	130	-2
119	131	-2
120	121	-1
120	131	-1
120	132	-1
121	122	-2
121	133	1
122	123	-2
122	134	1
123	124	-1
123	135	2
124	125	2
124	136	1
125	126	2
125	137	2
126	127	2
126	138	1
127	128	-1
127	139	-2
128	129	-2
128	140	-1
129	130	1
129	141	-1
130	131	-2
130	142	-2
131	143	1
132	133	-1
132	143	-1
133	134	-2
134	135	1
135	136	-2
136	137	-1
137	138	2
138	139	1
139	140	-2
140	141	2
141	142	-1
142	143	-1
