0	1	-1
0	13	-1
0	14	2
0	182	1
1	2	2
1	15	1
1	183	-2
2	3	-1
2	16	-1
2	184	1
3	4	-1
3	17	-2
3	185	2
4	5	2
4	18	-1
4	186	-1
5	6	2
5	19	-2
5	187	-1
6	7	1
6	20	2
6	188	1
7	8	-2
7	21	-2
7	189	1
8	9	-1
8	22	-1
8	190	-2
9	10	-1
9	23	-1
9	191	1
10	11	1
10	24	-1
10	192	1
11	12	2
11	25	2
11	193	2
12	13	-1
12	26	-1
12	194	-2
13	27	-2
13	195	2
14	15	1
14	27	-1
14	28	-2
15	16	1
15	29	-1
16	17	1
16	30	1
17	18	1
17	31	-1
18	19	-1
18	32	-2
19	20	1
19	33	1
20	21	1
20	34	2
21	22	-1
21	35	2
22	23	1
22	36	1
23	24	2
23	37	1
24	25	2
24	38	1
25	26	-2
25	39	-1
26	27	2
26	40	-2
27	41	-1
28	29	2
28	41	2
28	42	-2
29	30	1
29	43	-1
30	31	1
30	44	-1
31	32	-2
31	45	-2
32	33	-1
32	46	2
33	34	-2
33	47	-1
34	35	-2
34	48	-1
35	36	2
35	49	-1
36	37	1
36	50	1
37	38	-2
37	51	-2
38	39	2
38	52	1
39	40	2
39	53	1
40	41	-1
40	54	-1
41	55	1
42	43	-1
42	55	-2
42	56	1
43	44	1
43	57	1
44	45	-2
44	58	2
45	46	1
45	59	1
46	47	-2
46	60	1
47	48	-1
47	61	1
48	49	2
48	62	1
49	50	1
49	63	-1
50	51	2
50	64	1
51	52	1
51	65	1
52	53	-2
52	66	1
53	54	2
53	67	-1
54	55	-1
54	68	-2
55	69	2
56	57	2
56	69	1
56	70	1
57	58	-2
57	71	2
58	59	-2
58	72	1
59	60	-1
59	73	-1
60	61	-1
60	74	2
61	62	1
61	75	-1
62	63	1
62	76	1
63	64	1
63	77	-2
64	65	-1
64	78	1
65	66	-1
65	79	-1
66	67	-1
66	80	2
67	68	-1
67	81	-1
68	69	2
68	82	-1
69	83	1
70	71	-1
70	83	2
70	84	1
71	72	-1
71	85	1
72	73	-2
72	86	2
73	74	1
73	87	2
74	75	-2
74	88	-2
75	76	2
75	89	2
76	77	2
76	90	-1
77	78	-1
77	91	-2
78	79	-1
78	92	2
79	80	-2
79	93	-2
80	81	-2
80	94	1
81	82	-2
81	95	2
82	83	2
82	96	1
83	97	-2
84	85	-1
84	97	1
84	98	-1
85	86	1
85	99	2
86	87	-2
86	100	2
87	88	1
87	101	1
88	89	2
88	102	-1
89	90	2
89	103	1
90	91	1
90	104	1
91	92	-1
91	105	-1
92	93	-1
92	106	-1
93	94	-2
93	107	2
94	95	1
94	108	-1
95	96	2
95	109	2
96	97	2
96	110	2
97	111	-1
98	99	-2
98	111	1
98	112	2
99	100	1
99	113	-1
100	101	1
100	114	-2
101	102	-2
101	115	1
102	103	1
102	116	-2
103	104	2
103	117	2
104	105	1
104	118	2
105	106	2
105	119	-1
106	107	-2
106	120	2
107	108	-2
107	121	2
108	109	1
108	122	-1
109	110	1
109	123	1
110	111	1
110	124	1
111	125	-1
112	113	1
112	125	2
112	126	-2
113	114	-2
113	127	-2
114	115	-1
114	128	-2
115	116	-1
115	129	-2
116	117	-1
116	130	-1
117	118	-1
117	131	-1
118	119	-2
118	132	1
119	120	1
119	133	1
120	121	-2
120	134	-2
121	122	-1
121	135	1
122	123	-1
122	136	1
123	124	-1
123	137	2
124	125	1
124	138	-1
125	139	1
126	127	-1
126	139	-1
126	140	1
127	128	-2
127	141	1
128	129	1
128	142	2
129	130	-2
129	143	-2
130	131	1
130	144	1
131	132	-1
131	145	1
132	133	2
132	146	2
133	134	-1
133	147	2
134	135	-1
134	148	-2
135	136	2
135	149	2
136	137	1
136	150	1
137	138	-1
137	151	-1
138	139	1
138	152	2
139	153	2
140	141	1
140	153	2
140	154	2
141	142	1
141	155	1
142	143	2
142	156	-1
143	144	-1
143	157	-1
144	145	-2
144	158	-2
145	146	2
145	159	1
146	147	1
146	160	-1
147	148	-1
147	161	1
148	149	-1
148	162	2
149	150	-1
149	163	2
150	151	-1
150	164	-1
151	152	-1
151	165	-2
152	153	-1
152	166	1
153	167	1
154	155	-2
154	167	1
154	168	2
155	156	-2
155	169	1
156	157	-1
156	170	-1
157	158	1
157	171	1
158	159	-1
158	172	1
159	160	1
159	173	1
160	161	1
160	174	-1
161	162	-1
161	175	-2
162	163	1
162	176	-2
163	164	-2
163	177	-2
164	165	2
164	178	-1
165	166	2
165	179	-1
166	167	1
166	180	1
167	181	-1
168	169	1
168	181	1
168	182	1
169	170	-1
169	183	1
170	171	1
170	184	1
171	172	-1
171	185	-1
172	173	2
172	186	2
173	174	1
173	187	1
174	175	2
174	188	2
175	176	1
175	189	1
176	177	-1
176	190	1
177	178	1
177	191	1
178	179	-2
178	192	1
179	180	2
179	193	-2
180	181	-1
180	194	2
181	195	-2
182	183	-1
182	195	1
183	184	2
184	185	1
185	186	-2
186	187	-1
187	188	2
188	189	-2
189	190	-2
190	191	1
191	192	1
192	193	-1
193	194	1
194	195	-1
