0	1	2
0	13	1
0	14	-2
0	182	-2
1	2	-2
1	15	1
1	183	2
2	3	-1
2	16	-1
2	184	1
3	4	-2
3	17	-1
3	185	1
4	5	-2
4	18	1
4	186	2
5	6	-2
5	19	-2
5	187	-2
6	7	-2
6	20	-1
6	188	2
7	8	-2
7	21	1
7	189	-1
8	9	-1
8	22	2
8	190	2
9	10	2
9	23	-2
9	191	-1
10	11	1
10	24	-1
10	192	-1
11	12	1
11	25	1
11	193	2
12	13	2
12	26	1
12	194	2
13	27	-1
13	195	2
14	15	2
14	27	1
14	28	1
15	16	-2
15	29	2
16	17	1
16	30	1
17	18	-2
17	31	2
18	19	-1
18	32	1
19	20	-1
19	33	2
20	21	-2
20	34	-1
21	22	2
21	35	-1
22	23	-1
22	36	-2
23	24	-2
23	37	-2
24	25	1
24	38	-1
25	26	2
25	39	-2
26	27	2
26	40	1
27	41	1
28	29	1
28	41	-1
28	42	-1
29	30	2
29	43	1
30	31	-2
30	44	1
31	32	1
31	45	1
32	33	-2
32	46	2
33	34	-2
33	47	-1
34	35	1
34	48	1
35	36	-1
35	49	-1
36	37	1
36	50	-1
37	38	1
37	51	1
38	39	2
38	52	2
39	40	1
39	53	1
40	41	1
40	54	-1
41	55	1
42	43	1
42	55	-1
42	56	1
43	44	-2
43	57	-2
44	45	2
44	58	1
45	46	1
45	59	-1
46	47	-1
46	60	2
47	48	2
47	61	1
48	49	1
48	62	-1
49	50	2
49	63	-1
50	51	2
50	64	-2
51	52	-2
51	65	-2
52	53	-1
52	66	-1
53	54	-1
53	67	2
54	55	1
54	68	-2
55	69	1
56	57	2
56	69	1
56	70	-1
57	58	-1
57	71	-2
58	59	-2
58	72	-2
59	60	2
59	73	2
60	61	1
60	74	1
61	62	2
61	75	2
62	63	2
62	76	2
63	64	-1
63	77	1
64	65	-1
64	78	-1
65	66	1
65	79	-1
66	67	-1
66	80	2
67	68	-1
67	81	1
68	69	-1
68	82	2
69	83	1
70	71	-2
70	83	1
70	84	-1
71	72	1
71	85	-2
72	73	-1
72	86	2
73	74	-2
73	87	2
74	75	-2
74	88	-1
75	76	1
75	89	-1
76	77	-1
76	90	-2
77	78	-2
77	91	2
78	79	1
78	92	-1
79	80	2
79	93	-2
80	81	2
80	94	2
81	82	-2
81	95	2
82	83	2
82	96	1
83	97	2
84	85	-1
84	97	2
84	98	-2
85	86	2
85	99	2
86	87	2
86	100	-1
87	88	-1
87	101	2
88	89	-2
88	102	1
89	90	-2
89	103	-2
90	91	-1
90	104	-1
91	92	-2
91	105	-2
92	93	-1
92	106	-1
93	94	1
93	107	-1
94	95	-1
94	108	2
95	96	1
95	109	-1
96	97	-2
96	110	-1
97	111	-2
98	99	-2
98	111	1
98	112	2
99	100	2
99	113	-1
100	101	1
100	114	1
101	102	1
101	115	1
102	103	-1
102	116	-1
103	104	-1
103	117	-2
104	105	2
104	118	-2
105	106	2
105	119	1
106	107	1
106	120	2
107	108	1
107	121	1
108	109	-2
108	122	-1
109	110	-1
109	123	2
110	111	2
110	124	-1
111	125	-1
112	113	-1
112	125	1
112	126	-1
113	114	1
113	127	-1
114	115	1
114	128	-2
115	116	1
115	129	1
116	117	1
116	130	-1
117	118	1
117	131	-1
118	119	2
118	132	-1
119	120	-2
119	133	-1
120	121	2
120	134	2
121	122	1
121	135	1
122	123	-2
122	136	1
123	124	-2
123	137	-2
124	125	1
124	138	-2
125	139	2
126	127	1
126	139	2
126	140	-2
127	128	-1
127	141	-2
128	129	1
128	142	2
129	130	-2
129	143	-2
130	131	-1
130	144	-1
131	132	1
131	145	-1
132	133	-2
132	146	-1
133	134	2
133	147	2
134	135	-1
134	148	1
135	136	2
135	149	1
136	137	-2
136	150	1
137	138	-2
137	151	1
138	139	1
138	152	-2
139	153	-1
140	141	2
140	153	-1
140	154	1
141	142	-1
141	155	-2
142	143	2
142	156	-1
143	144	2
143	157	1
144	145	-1
144	158	-1
145	146	-1
145	159	-1
146	147	2
146	160	2
147	148	-2
147	161	-1
148	149	-2
148	162	2
149	150	-2
149	163	1
150	151	1
150	164	-2
151	152	-1
151	165	2
152	153	2
152	166	1
153	167	-2
154	155	2
154	167	2
154	168	-1
155	156	2
155	169	2
156	157	2
156	170	1
157	158	1
157	171	-1
158	159	1
158	172	-1
159	160	1
159	173	-1
160	161	1
160	174	-2
161	162	-2
161	175	1
162	163	1
162	176	-1
163	164	-1
163	177	-2
164	165	1
164	178	-2
165	166	-1
165	179	2
166	167	1
166	180	-2
167	181	1
168	169	2
168	181	2
168	182	1
169	170	-2
169	183	2
170	171	2
170	184	-1
171	172	-1
171	185	-2
172	173	1
172	186	-1
173	174	-2
173	187	2
174	175	1
174	188	1
175	176	-2
175	189	-2
176	177	1
176	190	-1
177	178	1
177	191	-1
178	179	-2
178	192	2
179	180	-1
179	193	-1
180	181	1
180	194	-2
181	195	1
182	183	-2
182	195	1
183	184	1
184	185	-1
185	186	1
186	187	2
187	188	-1
188	189	2
189	190	-1
190	191	-1
191	192	-1
192	193	-2
193	194	-2
194	195	1
