0	1	2
0	15	-1
0	16	2
0	240	-2
1	2	1
1	17	2
1	241	2
2	3	2
2	18	-1
2	242	-1
3	4	-2
3	19	2
3	243	-1
4	5	1
4	20	2
4	244	1
5	6	1
5	21	-1
5	245	1
6	7	1
6	22	1
6	246	1
7	8	1
7	23	-2
7	247	1
8	9	-1
8	24	-1
8	248	-1
9	10	1
9	25	-1
9	249	1
10	11	-1
10	26	-1
10	250	1
11	12	-2
11	27	-1
11	251	-2
12	13	1
12	28	-2
12	252	1
13	14	1
13	29	-1
13	253	2
14	15	-2
14	30	1
14	254	1
15	31	-2
15	255	-2
16	17	-1
16	31	-1
16	32	2
17	18	2
17	33	2
18	19	2
18	34	2
19	20	-2
19	35	2
20	21	2
20	36	1
21	22	-1
21	37	1
22	23	2
22	38	2
23	24	2
23	39	-1
24	25	2
24	40	-1
25	26	-1
25	41	1
26	27	1
26	42	1
27	28	1
27	43	-2
28	29	-2
28	44	2
29	30	-2
29	45	1
30	31	-1
30	46	-2
31	47	-1
32	33	1
32	47	-2
32	48	1
33	34	-1
33	49	2
34	35	2
34	50	-2
35	36	1
35	51	1
36	37	-1
36	52	1
37	38	2
37	53	-1
38	39	-1
38	54	-2
39	40	-2
39	55	-1
40	41	-2
40	56	1
41	42	1
41	57	-1
42	43	-1
42	58	-1
43	44	2
43	59	-1
44	45	1
44	60	2
45	46	-1
45	61	-1
46	47	1
46	62	2
47	63	1
48	49	-2
48	63	1
48	64	-1
49	50	1
49	65	2
50	51	1
50	66	1
51	52	2
51	67	-1
52	53	-1
52	68	1
53	54	-2
53	69	2
54	55	2
54	70	-2
55	56	2
55	71	2
56	57	-2
56	72	1
57	58	-2
57	73	1
58	59	1
58	74	-1
59	60	-1
59	75	-1
60	61	1
60	76	-1
61	62	-2
61	77	2
62	63	-1
62	78	-2
63	79	1
64	65	-1
64	79	1
64	80	1
65	66	-2
65	81	1
66	67	2
66	82	-2
67	68	2
67	83	1
68	69	1
68	84	-2
69	70	-1
69	85	-2
70	71	-1
70	86	1
71	72	-2
71	87	2
72	73	1
72	88	2
73	74	-2
73	89	-1
74	75	-1
74	90	2
75	76	1
75	91	1
76	77	1
76	92	2
77	78	-1
77	93	1
78	79	1
78	94	-1
79	95	1
80	81	1
80	95	1
80	96	-1
81	82	2
81	97	2
82	83	2
82	98	-1
83	84	1
83	99	1
84	85	-2
84	100	-1
85	86	2
85	101	2
86	87	2
86	102	-2
87	88	1
87	103	1
88	89	1
88	104	2
89	90	1
89	105	1
90	91	2
90	106	-1
91	92	-2
91	107	2
92	93	-2
92	108	1
93	94	1
93	109	-1
94	95	1
94	110	1
95	111	-1
96	97	-2
96	111	-1
96	112	1
97	98	2
97	113	2
98	99	-1
98	114	1
99	100	2
99	115	-1
100	101	-1
100	116	-1
101	102	1
101	117	-2
102	103	1
102	118	-1
103	104	-1
103	119	-1
104	105	1
104	120	2
105	106	2
105	121	1
106	107	2
106	122	2
107	108	1
107	123	-2
108	109	-1
108	124	1
109	110	1
109	125	-1
110	111	-1
110	126	-1
111	127	-1
112	113	1
112	127	-1
112	128	-1
113	114	-1
113	129	2
114	115	-1
114	130	2
115	116	-2
115	131	1
116	117	1
116	132	-1
117	118	-2
117	133	1
118	119	-1
118	134	-1
119	120	2
119	135	1
120	121	-2
120	136	1
121	122	2
121	137	-2
122	123	1
122	138	-1
123	124	-2
123	139	2
124	125	-1
124	140	-1
125	126	2
125	141	-1
126	127	1
126	142	2
127	143	-1
128	129	-1
128	143	1
128	144	1
129	130	1
129	145	-2
130	131	2
130	146	-1
131	132	-2
131	147	1
132	133	2
132	148	1
133	134	-2
133	149	-2
134	135	-1
134	150	1
135	136	-2
135	151	1
136	137	-1
136	152	-1
137	138	-1
137	153	1
138	139	2
138	154	-1
139	140	-2
139	155	-2
140	141	2
140	156	1
141	142	2
141	157	2
142	143	-2
142	158	-2
143	159	1
144	145	-2
144	159	-1
144	160	1
145	146	1
145	161	-1
146	147	2
146	162	-1
147	148	1
147	163	-1
148	149	2
148	164	1
149	150	1
149	165	-2
150	151	1
150	166	-1
151	152	-1
151	167	1
152	153	-1
152	168	2
153	154	1
153	169	-2
154	155	-1
154	170	2
155	156	-1
155	171	1
156	157	-1
156	172	1
157	158	-1
157	173	1
158	159	-2
158	174	-1
159	175	-1
160	161	-2
160	175	-2
160	176	-2
161	162	-2
161	177	2
162	163	1
162	178	-1
163	164	1
163	179	-2
164	165	-1
164	180	-2
165	166	-1
165	181	1
166	167	-1
166	182	2
167	168	2
167	183	-2
168	169	1
168	184	-1
169	170	1
169	185	1
170	171	-1
170	186	1
171	172	1
171	187	-1
172	173	-2
172	188	2
173	174	-1
173	189	-1
174	175	1
174	190	-1
175	191	1
176	177	-1
176	191	1
176	192	1
177	178	-1
177	193	-2
178	179	-1
178	194	2
179	180	-2
179	195	1
180	181	-2
180	196	-1
181	182	-1
181	197	-2
182	183	-1
182	198	-2
183	184	1
183	199	1
184	185	1
184	200	-1
185	186	-1
185	201	-1
186	187	-1
186	202	-1
187	188	-2
187	203	-2
188	189	-1
188	204	1
189	190	-1
189	205	1
190	191	1
190	206	1
191	207	2
192	193	-1
192	207	-1
192	208	2
193	194	-1
193	209	1
194	195	-1
194	210	2
195	196	-2
195	211	-2
196	197	-2
196	212	1
197	198	2
197	213	-1
198	199	-2
198	214	-1
199	200	2
199	215	-1
200	201	2
200	216	1
201	202	1
201	217	-2
202	203	1
202	218	1
203	204	-1
203	219	-1
204	205	-1
204	220	2
205	206	1
205	221	-2
206	207	1
206	222	1
207	223	1
208	209	1
208	223	-1
208	224	-2
209	210	-1
209	225	1
210	211	-2
210	226	-2
211	212	-1
211	227	2
212	213	-2
212	228	1
213	214	-2
213	229	-2
214	215	2
214	230	-1
215	216	-1
215	231	-2
216	217	1
216	232	-2
217	218	-1
217	233	1
218	219	1
218	234	-2
219	220	1
219	235	1
220	221	-1
220	236	1
221	222	2
221	237	1
222	223	-1
222	238	-2
223	239	-1
224	225	-1
224	239	2
224	240	-1
225	226	-2
225	241	1
226	227	2
226	242	2
227	228	2
227	243	1
228	229	1
228	244	2
229	230	1
229	245	-2
230	231	-1
230	246	-1
231	232	1
231	247	2
232	233	-2
232	248	-1
233	234	-2
233	249	-2
234	235	1
234	250	-2
235	236	-1
235	251	-1
236	237	1
236	252	2
237	238	2
237	253	-2
238	239	-1
238	254	2
239	255	-2
240	241	-1
240	255	2
241	242	2
242	243	-2
243	244	-2
244	245	1
245	246	-1
246	247	-2
247	248	2
248	249	1
249	250	-2
250	251	-2
251	252	-1
252	253	1
253	254	-2
254	255	-1
