0	1	-1
0	5	-2
0	6	1
0	30	-2
1	2	2
1	7	1
1	31	1
2	3	-1
2	8	2
2	32	-1
3	4	2
3	9	2
3	33	-1
4	5	1
4	10	1
4	34	2
5	11	-1
5	35	1
6	7	1
6	11	-2
6	12	2
7	8	1
7	13	1
8	9	2
8	14	-2
9	10	-1
9	15	2
10	11	1
10	16	1
11	17	-1
12	13	-1
12	17	-1
12	18	-2
13	14	2
13	19	-1
14	15	-1
14	20	-1
15	16	2
15	21	1
16	17	1
16	22	1
17	23	1
18	19	2
18	23	1
18	24	-2
19	20	-1
19	25	1
20	21	-1
20	26	1
21	22	-1
21	27	1
22	23	-1
22	28	1
23	29	-2
24	25	-2
24	29	-1
24	30	-2
25	26	1
25	31	-2
26	27	-1
26	32	-1
27	28	1
27	33	-1
28	29	-1
28	34	2
29	35	-1
30	31	1
30	35	-2
31	32	1
32	33	1
33	34	1
34	35	-2
